Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,little-leopard-safari-tee,,,,,,,,MEEK-TEE-LEO-12-18M,,Size,12-18M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,140,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,little-leopard-safari-tee,,,,,,,,MEEK-TEE-LEO-18-24M,,Size,18-24M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,little-leopard-safari-tee,,,,,,,,MEEK-TEE-LEO-2-3Y,,Size,2-3Y,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,160,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,1,Little Leopard Safari Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_leopard_tee.jpg,FALSE,,,,,,,,,,,,,,,,
Tiny Dino Doodles Cotton Tee,tiny-dino-doodles-tee,"<p>Bright, cheerful, and full of prehistoric fun! This crisp white long-sleeve tee features hand-drawn watercolor dinosaur illustrations. Lightweight, 100% breathable organic cotton prevents rashes and keeps toddlers cool and happy.</p><ul><li>Fabric: 100% Breathable Organic Cotton</li><li>Print: Multi-Color Storybook Dinosaur Art</li><li>Features: Shoulder snap ease & flatlock seams</li><li>Care: Machine Wash Cold</li></ul>",Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Basic T-Shirts,"Basic Tee, Everyday Cotton, White, Dinosaur, Dino, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Active,MEEK-TEE-DIN-0-6M,,Size,0-6M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,120,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,1,Tiny Dino Doodles Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,FALSE,Tiny Dino Doodles Cotton Tee - Meeeku,"Shop Tiny Dino Doodles Cotton Tee (0-6M to 2-3Y) at Meeeku. 100% Combed Cotton, zero-itch guarantee.",,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Unisex,Toddler,,,,New,FALSE,,,,,
,tiny-dino-doodles-tee,,,,,,,,MEEK-TEE-DIN-6-12M,,Size,6-12M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,130,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,1,Tiny Dino Doodles Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,tiny-dino-doodles-tee,,,,,,,,MEEK-TEE-DIN-12-18M,,Size,12-18M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,140,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,1,Tiny Dino Doodles Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,tiny-dino-doodles-tee,,,,,,,,MEEK-TEE-DIN-18-24M,,Size,18-24M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,1,Tiny Dino Doodles Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,tiny-dino-doodles-tee,,,,,,,,MEEK-TEE-DIN-2-3Y,,Size,2-3Y,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,160,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,1,Tiny Dino Doodles Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_dino_tee.jpg,FALSE,,,,,,,,,,,,,,,,
Little Night Owl Starlit Cotton Tee,little-night-owl-starlit-tee,<p>Cozy bedtime stories come alive in this pure white cotton tee featuring two sleepy watercolor owls perched under a crescent moon and starlit sky. Butter-soft pure cotton ensures snuggly comfort for naps and daycare adventures.</p><ul><li>Fabric: 100% Premium Pure Cotton</li><li>Graphic: Watercolor Night Owl & Crescent Moon</li><li>Features: Extra-soft baby ribbing & smooth cuffs</li><li>Care: Machine Wash Cold</li></ul>,Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Basic T-Shirts,"Basic Tee, Everyday Cotton, White, Owl, Starlit, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Active,MEEK-TEE-OWL-0-6M,,Size,0-6M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,120,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,1,Little Night Owl Starlit Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,FALSE,Little Night Owl Starlit Cotton Tee - Meeeku,"Shop Little Night Owl Starlit Cotton Tee (0-6M to 2-3Y) at Meeeku. 100% Combed Cotton, zero-itch guarantee.",,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Unisex,Toddler,,,,New,FALSE,,,,,
,little-night-owl-starlit-tee,,,,,,,,MEEK-TEE-OWL-6-12M,,Size,6-12M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,130,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,1,Little Night Owl Starlit Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,little-night-owl-starlit-tee,,,,,,,,MEEK-TEE-OWL-12-18M,,Size,12-18M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,140,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,1,Little Night Owl Starlit Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,little-night-owl-starlit-tee,,,,,,,,MEEK-TEE-OWL-18-24M,,Size,18-24M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,1,Little Night Owl Starlit Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,little-night-owl-starlit-tee,,,,,,,,MEEK-TEE-OWL-2-3Y,,Size,2-3Y,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,160,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,1,Little Night Owl Starlit Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_owl_tee.jpg,FALSE,,,,,,,,,,,,,,,,
Mighty Little Lion Cotton Tee,mighty-little-lion-tee,"<p>Roar with joy in this sunny, cheerful baby tee! Featuring friendly golden-maned lions and 'L is for Lion' graphics on super-soft combed white cotton. Designed for maximum flexibility during crawls, steps, and tummy time.</p><ul><li>Fabric: 100% Combed Breathable Cotton</li><li>Detail: Joyful Lion Character Art</li><li>Features: Tagless comfort and shape-retaining stretch</li><li>Care: Machine Wash Gentle</li></ul>",Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Basic T-Shirts,"Basic Tee, Everyday Cotton, White, Lion, Safari, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Active,MEEK-TEE-LIO-0-6M,,Size,0-6M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,120,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,1,Mighty Little Lion Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,FALSE,Mighty Little Lion Cotton Tee - Meeeku,"Shop Mighty Little Lion Cotton Tee (0-6M to 2-3Y) at Meeeku. 100% Combed Cotton, zero-itch guarantee.",,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Unisex,Toddler,,,,New,FALSE,,,,,
,mighty-little-lion-tee,,,,,,,,MEEK-TEE-LIO-6-12M,,Size,6-12M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,130,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,1,Mighty Little Lion Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,mighty-little-lion-tee,,,,,,,,MEEK-TEE-LIO-12-18M,,Size,12-18M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,140,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,1,Mighty Little Lion Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,mighty-little-lion-tee,,,,,,,,MEEK-TEE-LIO-18-24M,,Size,18-24M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,1,Mighty Little Lion Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,mighty-little-lion-tee,,,,,,,,MEEK-TEE-LIO-2-3Y,,Size,2-3Y,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,160,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,1,Mighty Little Lion Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_lion_tee.jpg,FALSE,,,,,,,,,,,,,,,,
Cosmic Safari Doodle Cotton Tee,cosmic-safari-doodle-tee,"<p>A whimsical fusion of jungle safari and space exploration! Giraffes, elephants, planets, and moons dance across this ultra-breathable pure cotton tee. Perfect for curious minds and active toddlers on the go.</p><ul><li>Fabric: 100% Pure Lightweight Cotton</li><li>Print: All-Over Galaxy Safari Animal Doodles</li><li>Features: Zero-itch neckline & reinforced stitching</li><li>Care: Machine Wash Gentle Cycle</li></ul>",Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Basic T-Shirts,"Basic Tee, Everyday Cotton, White, Cosmic Safari, Galaxy, Animals, 0-6M, 6-12M, 12-18M, 18-24M, 2-3Y",TRUE,Active,MEEK-TEE-SAF-0-6M,,Size,0-6M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,120,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,1,Cosmic Safari Doodle Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,FALSE,Cosmic Safari Doodle Cotton Tee - Meeeku,"Shop Cosmic Safari Doodle Cotton Tee (0-6M to 2-3Y) at Meeeku. 100% Combed Cotton, zero-itch guarantee.",,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Unisex,Toddler,,,,New,FALSE,,,,,
,cosmic-safari-doodle-tee,,,,,,,,MEEK-TEE-SAF-6-12M,,Size,6-12M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,130,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,1,Cosmic Safari Doodle Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,cosmic-safari-doodle-tee,,,,,,,,MEEK-TEE-SAF-12-18M,,Size,12-18M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,140,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,1,Cosmic Safari Doodle Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,cosmic-safari-doodle-tee,,,,,,,,MEEK-TEE-SAF-18-24M,,Size,18-24M,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,1,Cosmic Safari Doodle Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,FALSE,,,,,,,,,,,,,,,,
,cosmic-safari-doodle-tee,,,,,,,,MEEK-TEE-SAF-2-3Y,,Size,2-3Y,,,,,,,,599.00,899.00,220.00,TRUE,,,,,,shopify,50,DENY,160,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,1,Cosmic Safari Doodle Cotton Tee - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_cosmic_safari_tee.jpg,FALSE,,,,,,,,,,,,,,,,
